time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2023-08-31T08:00:00.0000000Z,2023-08-31T09:00:00.0000000Z,2023-08-31T08:50:29.3880000Z,2023-08-31T08:59:42.6570000Z,0.26468,0.26476,0.26461,0.26468,0,112
2023-08-31T09:00:00.0000000Z,2023-08-31T10:00:00.0000000Z,2023-08-31T09:00:00.4330000Z,2023-08-31T09:59:52.8160000Z,0.26468,0.26483,0.26437,0.26439,0,736
2023-08-31T10:00:00.0000000Z,2023-08-31T11:00:00.0000000Z,2023-08-31T10:00:03.0930000Z,2023-08-31T10:59:45.6590000Z,0.26439,0.26448,0.26402,0.26434,0,726
2023-08-31T11:00:00.0000000Z,2023-08-31T12:00:00.0000000Z,2023-08-31T11:00:03.1010000Z,2023-08-31T11:59:40.1810000Z,0.26434,0.26659,0.26434,0.26533,0,1223
2023-08-31T12:00:00.0000000Z,2023-08-31T13:00:00.0000000Z,2023-08-31T12:00:03.1050000Z,2023-08-31T12:59:59.4550000Z,0.26531,0.26533,0.26343,0.26393,0,1100
2023-08-31T13:00:00.0000000Z,2023-08-31T14:00:00.0000000Z,2023-08-31T13:00:02.0120000Z,2023-08-31T13:59:49.6050000Z,0.26395,0.26395,0.26206,0.26243,0,1287
2023-08-31T14:00:00.0000000Z,2023-08-31T15:00:00.0000000Z,2023-08-31T14:00:01.2020000Z,2023-08-31T14:59:55.9850000Z,0.26245,0.26306,0.26119,0.26303,0,1321
2023-08-31T15:00:00.0000000Z,2023-08-31T16:00:00.0000000Z,2023-08-31T15:00:03.1410000Z,2023-08-31T15:59:59.9310000Z,0.26303,0.26303,0.25722,0.2591,0,2405
2023-08-31T16:00:00.0000000Z,2023-08-31T17:00:00.0000000Z,2023-08-31T16:00:00.5220000Z,2023-08-31T16:59:59.9940000Z,0.25911,0.25951,0.25251,0.25279,0,3909
2023-08-31T17:00:00.0000000Z,2023-08-31T18:00:00.0000000Z,2023-08-31T17:00:00.2260000Z,2023-08-31T17:59:57.3010000Z,0.25283,0.25586,0.2495,0.25581,0,3905
2023-08-31T18:00:00.0000000Z,2023-08-31T19:00:00.0000000Z,2023-08-31T18:00:02.8110000Z,2023-08-31T18:59:55.7610000Z,0.25579,0.25664,0.25504,0.25597,0,1595
2023-08-31T19:00:00.0000000Z,2023-08-31T20:00:00.0000000Z,2023-08-31T19:00:00.3620000Z,2023-08-31T19:59:56.3480000Z,0.25597,0.25597,0.253,0.25448,0,1680
2023-08-31T20:00:00.0000000Z,2023-08-31T21:00:00.0000000Z,2023-08-31T20:00:01.0930000Z,2023-08-31T20:59:58.0450000Z,0.25447,0.25455,0.25351,0.25389,0,1432
