time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2023-08-31T08:00:00.0000000Z,2023-08-31T09:00:00.0000000Z,2023-08-31T08:50:20.2340000Z,2023-08-31T08:59:36.7840000Z,10.335,10.345,10.331,10.336,0,75
2023-08-31T09:00:00.0000000Z,2023-08-31T10:00:00.0000000Z,2023-08-31T09:00:03.0820000Z,2023-08-31T09:59:54.4010000Z,10.336,10.412,10.323,10.397,0,643
2023-08-31T10:00:00.0000000Z,2023-08-31T11:00:00.0000000Z,2023-08-31T10:00:02.7520000Z,2023-08-31T10:59:57.1190000Z,10.395,10.438,10.388,10.428,0,734
2023-08-31T11:00:00.0000000Z,2023-08-31T12:00:00.0000000Z,2023-08-31T11:00:00.9890000Z,2023-08-31T11:59:57.4860000Z,10.428,10.548,10.425,10.461,0,1423
2023-08-31T12:00:00.0000000Z,2023-08-31T13:00:00.0000000Z,2023-08-31T12:00:02.0140000Z,2023-08-31T12:59:41.8860000Z,10.461,10.475,10.38,10.406,0,1070
2023-08-31T13:00:00.0000000Z,2023-08-31T14:00:00.0000000Z,2023-08-31T13:00:03.1140000Z,2023-08-31T13:59:58.4640000Z,10.406,10.415,10.329,10.352,0,829
2023-08-31T14:00:00.0000000Z,2023-08-31T15:00:00.0000000Z,2023-08-31T14:00:03.5440000Z,2023-08-31T14:59:55.1440000Z,10.352,10.362,10.287,10.361,0,934
2023-08-31T15:00:00.0000000Z,2023-08-31T16:00:00.0000000Z,2023-08-31T15:00:03.1400000Z,2023-08-31T15:59:59.9310000Z,10.361,10.366,10.136,10.212,0,1749
2023-08-31T16:00:00.0000000Z,2023-08-31T17:00:00.0000000Z,2023-08-31T16:00:00.1590000Z,2023-08-31T16:59:59.8930000Z,10.214,10.216,9.96,9.982,0,2593
2023-08-31T17:00:00.0000000Z,2023-08-31T18:00:00.0000000Z,2023-08-31T17:00:00.3430000Z,2023-08-31T17:59:58.7450000Z,9.984,10.062,9.818,10.035,0,2882
2023-08-31T18:00:00.0000000Z,2023-08-31T19:00:00.0000000Z,2023-08-31T18:00:01.6630000Z,2023-08-31T18:59:59.4360000Z,10.038,10.091,10.024,10.062,0,1205
2023-08-31T19:00:00.0000000Z,2023-08-31T20:00:00.0000000Z,2023-08-31T19:00:03.0400000Z,2023-08-31T19:59:58.4000000Z,10.062,10.063,9.964,10.035,0,1125
