time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2023-08-31T08:00:00.0000000Z,2023-08-31T09:00:00.0000000Z,2023-08-31T08:50:20.4570000Z,2023-08-31T08:59:59.9550000Z,223.62,223.67,223.53,223.64,0,324
2023-08-31T09:00:00.0000000Z,2023-08-31T10:00:00.0000000Z,2023-08-31T09:00:00.0850000Z,2023-08-31T09:59:57.0000000Z,223.64,223.66,223.03,223.49,0,2540
2023-08-31T10:00:00.0000000Z,2023-08-31T11:00:00.0000000Z,2023-08-31T10:00:01.1420000Z,2023-08-31T10:59:58.8670000Z,223.49,223.9,223.37,223.82,0,2200
2023-08-31T11:00:00.0000000Z,2023-08-31T12:00:00.0000000Z,2023-08-31T11:00:01.2520000Z,2023-08-31T11:59:59.1930000Z,223.8,225.88,223.75,224.65,0,2544
2023-08-31T12:00:00.0000000Z,2023-08-31T13:00:00.0000000Z,2023-08-31T12:00:01.2020000Z,2023-08-31T12:59:59.4550000Z,224.68,224.74,223.37,223.67,0,2216
2023-08-31T13:00:00.0000000Z,2023-08-31T14:00:00.0000000Z,2023-08-31T13:00:00.9720000Z,2023-08-31T13:59:59.6550000Z,223.65,223.67,222.95,223.34,0,2550
2023-08-31T14:00:00.0000000Z,2023-08-31T15:00:00.0000000Z,2023-08-31T14:00:00.6370000Z,2023-08-31T14:59:57.5910000Z,223.37,223.47,222.42,223.47,0,2576
2023-08-31T15:00:00.0000000Z,2023-08-31T16:00:00.0000000Z,2023-08-31T15:00:00.9520000Z,2023-08-31T15:59:59.6610000Z,223.44,223.47,220.58,221.44,0,3039
2023-08-31T16:00:00.0000000Z,2023-08-31T17:00:00.0000000Z,2023-08-31T16:00:00.9610000Z,2023-08-31T16:59:59.9940000Z,221.41,221.47,217.29,217.57,0,4398
2023-08-31T17:00:00.0000000Z,2023-08-31T18:00:00.0000000Z,2023-08-31T17:00:00.1220000Z,2023-08-31T17:59:58.1500000Z,217.58,218.14,215.99,217.75,0,3528
2023-08-31T18:00:00.0000000Z,2023-08-31T19:00:00.0000000Z,2023-08-31T18:00:00.6230000Z,2023-08-31T18:59:53.9230000Z,217.77,218.39,216.79,217.35,0,2349
2023-08-31T19:00:00.0000000Z,2023-08-31T20:00:00.0000000Z,2023-08-31T19:00:00.8940000Z,2023-08-31T19:59:58.4000000Z,217.35,217.74,215.92,217.08,0,2612
2023-08-31T20:00:00.0000000Z,2023-08-31T21:00:00.0000000Z,2023-08-31T20:00:00.4040000Z,2023-08-31T20:59:56.5930000Z,217.11,217.17,216.2,216.44,0,2137
2023-08-31T21:00:00.0000000Z,2023-08-31T22:00:00.0000000Z,2023-08-31T21:00:02.3840000Z,2023-08-31T21:59:59.3110000Z,216.47,216.8,214.45,216.32,0,2647
2023-08-31T22:00:00.0000000Z,2023-08-31T23:00:00.0000000Z,2023-08-31T22:00:00.3220000Z,2023-08-31T22:59:59.8600000Z,216.34,216.95,216.11,216.89,0,1627
2023-08-31T23:00:00.0000000Z,2023-09-01T00:00:00.0000000Z,2023-08-31T23:00:00.8470000Z,2023-08-31T23:59:59.5770000Z,216.92,216.92,216.08,216.6,0,1506
2023-09-01T00:00:00.0000000Z,2023-09-01T01:00:00.0000000Z,2023-09-01T00:00:02.1730000Z,2023-09-01T00:59:59.1970000Z,216.58,218.34,216.35,217.68,0,1920
2023-09-01T01:00:00.0000000Z,2023-09-01T02:00:00.0000000Z,2023-09-01T01:00:03.0840000Z,2023-09-01T01:59:59.2840000Z,217.68,217.68,216.84,216.94,0,1715
2023-09-01T02:00:00.0000000Z,2023-09-01T03:00:00.0000000Z,2023-09-01T02:00:00.3450000Z,2023-09-01T02:59:57.2660000Z,216.97,217.27,216.77,216.79,0,1664
2023-09-01T03:00:00.0000000Z,2023-09-01T04:00:00.0000000Z,2023-09-01T03:00:00.1150000Z,2023-09-01T03:59:49.8800000Z,216.78,217.11,216.51,216.83,0,1341
2023-09-01T04:00:00.0000000Z,2023-09-01T05:00:00.0000000Z,2023-09-01T04:00:03.1160000Z,2023-09-01T04:59:58.6150000Z,216.81,216.81,215.84,215.94,0,1490
2023-09-01T05:00:00.0000000Z,2023-09-01T06:00:00.0000000Z,2023-09-01T05:00:01.2040000Z,2023-09-01T05:59:59.9480000Z,215.95,216.02,215.01,215.08,0,1821
