time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2023-08-31T08:00:00.0000000Z,2023-08-31T09:00:00.0000000Z,2023-08-31T08:50:28.0700000Z,2023-08-31T08:59:53.6800000Z,4.489,4.491,4.487,4.489,0,133
2023-08-31T09:00:00.0000000Z,2023-08-31T10:00:00.0000000Z,2023-08-31T09:00:01.7700000Z,2023-08-31T09:59:40.8830000Z,4.489,4.49,4.469,4.478,0,917
2023-08-31T10:00:00.0000000Z,2023-08-31T11:00:00.0000000Z,2023-08-31T10:00:01.4590000Z,2023-08-31T10:59:58.3690000Z,4.478,4.484,4.474,4.476,0,657
2023-08-31T11:00:00.0000000Z,2023-08-31T12:00:00.0000000Z,2023-08-31T11:00:03.1020000Z,2023-08-31T11:59:39.1640000Z,4.476,4.517,4.476,4.491,0,1660
2023-08-31T12:00:00.0000000Z,2023-08-31T13:00:00.0000000Z,2023-08-31T12:00:01.1220000Z,2023-08-31T12:59:56.6510000Z,4.491,4.491,4.445,4.469,0,1886
2023-08-31T13:00:00.0000000Z,2023-08-31T14:00:00.0000000Z,2023-08-31T13:00:03.1420000Z,2023-08-31T13:59:52.7540000Z,4.469,4.471,4.445,4.46,0,1305
2023-08-31T14:00:00.0000000Z,2023-08-31T15:00:00.0000000Z,2023-08-31T14:00:02.3010000Z,2023-08-31T14:59:52.9180000Z,4.461,4.462,4.409,4.449,0,2430
2023-08-31T15:00:00.0000000Z,2023-08-31T16:00:00.0000000Z,2023-08-31T15:00:03.0870000Z,2023-08-31T15:59:59.9290000Z,4.449,4.451,4.352,4.37,0,3151
2023-08-31T16:00:00.0000000Z,2023-08-31T17:00:00.0000000Z,2023-08-31T16:00:00.6180000Z,2023-08-31T16:59:59.9820000Z,4.37,4.377,4.277,4.28,0,5171
2023-08-31T17:00:00.0000000Z,2023-08-31T18:00:00.0000000Z,2023-08-31T17:00:00.3380000Z,2023-08-31T17:59:59.5180000Z,4.28,4.322,4.241,4.322,0,4072
2023-08-31T18:00:00.0000000Z,2023-08-31T19:00:00.0000000Z,2023-08-31T18:00:00.2110000Z,2023-08-31T18:59:54.4480000Z,4.322,4.326,4.31,4.315,0,1456
2023-08-31T19:00:00.0000000Z,2023-08-31T20:00:00.0000000Z,2023-08-31T19:00:01.3680000Z,2023-08-31T19:59:59.9370000Z,4.315,4.32,4.279,4.312,0,1898
2023-08-31T20:00:00.0000000Z,2023-08-31T21:00:00.0000000Z,2023-08-31T20:00:00.4330000Z,2023-08-31T20:59:58.6040000Z,4.312,4.312,4.249,4.257,0,1829
2023-08-31T21:00:00.0000000Z,2023-08-31T22:00:00.0000000Z,2023-08-31T21:00:01.8960000Z,2023-08-31T21:59:59.9250000Z,4.257,4.269,4.234,4.266,0,2241
2023-08-31T22:00:00.0000000Z,2023-08-31T23:00:00.0000000Z,2023-08-31T22:00:03.1060000Z,2023-08-31T22:59:48.8300000Z,4.266,4.27,4.252,4.269,0,1161
2023-08-31T23:00:00.0000000Z,2023-09-01T00:00:00.0000000Z,2023-08-31T23:00:03.0600000Z,2023-08-31T23:59:43.5900000Z,4.269,4.272,4.254,4.27,0,908
2023-09-01T00:00:00.0000000Z,2023-09-01T01:00:00.0000000Z,2023-09-01T00:00:03.0910000Z,2023-09-01T00:59:58.5440000Z,4.27,4.294,4.263,4.284,0,1001
2023-09-01T01:00:00.0000000Z,2023-09-01T02:00:00.0000000Z,2023-09-01T01:00:03.0960000Z,2023-09-01T01:59:18.4510000Z,4.284,4.284,4.265,4.265,0,847
2023-09-01T02:00:00.0000000Z,2023-09-01T03:00:00.0000000Z,2023-09-01T02:00:03.0960000Z,2023-09-01T02:59:27.1490000Z,4.265,4.277,4.265,4.27,0,604
2023-09-01T03:00:00.0000000Z,2023-09-01T04:00:00.0000000Z,2023-09-01T03:00:03.0140000Z,2023-09-01T03:59:52.8900000Z,4.27,4.282,4.262,4.28,0,452
2023-09-01T04:00:00.0000000Z,2023-09-01T05:00:00.0000000Z,2023-09-01T04:00:02.5280000Z,2023-09-01T04:59:43.7990000Z,4.28,4.28,4.266,4.266,0,532
2023-09-01T05:00:00.0000000Z,2023-09-01T06:00:00.0000000Z,2023-09-01T05:00:01.0160000Z,2023-09-01T05:59:54.0630000Z,4.266,4.279,4.265,4.273,0,491
2023-09-01T06:00:00.0000000Z,2023-09-01T07:00:00.0000000Z,2023-09-01T06:00:03.1640000Z,2023-09-01T06:59:47.2050000Z,4.273,4.275,4.253,4.257,0,752
2023-09-01T07:00:00.0000000Z,2023-09-01T08:00:00.0000000Z,2023-09-01T07:00:03.0740000Z,2023-09-01T07:59:54.5960000Z,4.257,4.26,4.248,4.259,0,844
2023-09-01T08:00:00.0000000Z,2023-09-01T09:00:00.0000000Z,2023-09-01T08:00:01.5810000Z,2023-09-01T08:59:57.1560000Z,4.259,4.262,4.247,4.251,0,823
2023-09-01T09:00:00.0000000Z,2023-09-01T10:00:00.0000000Z,2023-09-01T09:00:01.6550000Z,2023-09-01T09:59:53.6160000Z,4.252,4.267,4.249,4.259,0,878
2023-09-01T10:00:00.0000000Z,2023-09-01T11:00:00.0000000Z,2023-09-01T10:00:03.1150000Z,2023-09-01T10:59:44.2040000Z,4.259,4.262,4.255,4.257,0,668
2023-09-01T11:00:00.0000000Z,2023-09-01T12:00:00.0000000Z,2023-09-01T11:00:03.0810000Z,2023-09-01T11:59:51.1620000Z,4.257,4.275,4.255,4.271,0,835
2023-09-01T12:00:00.0000000Z,2023-09-01T13:00:00.0000000Z,2023-09-01T12:00:00.9010000Z,2023-09-01T12:59:36.0930000Z,4.271,4.28,4.265,4.275,0,1136
2023-09-01T13:00:00.0000000Z,2023-09-01T14:00:00.0000000Z,2023-09-01T13:00:02.8570000Z,2023-09-01T13:59:56.6860000Z,4.275,4.277,4.243,4.262,0,1112
2023-09-01T14:00:00.0000000Z,2023-09-01T15:00:00.0000000Z,2023-09-01T14:00:00.4050000Z,2023-09-01T14:59:52.4550000Z,4.262,4.262,4.198,4.216,0,2075
2023-09-01T15:00:00.0000000Z,2023-09-01T16:00:00.0000000Z,2023-09-01T15:00:03.0750000Z,2023-09-01T15:59:57.5410000Z,4.215,4.246,4.202,4.221,0,1600
2023-09-01T16:00:00.0000000Z,2023-09-01T17:00:00.0000000Z,2023-09-01T16:00:00.6260000Z,2023-09-01T16:59:59.9510000Z,4.221,4.24,4.202,4.205,0,1502
2023-09-01T17:00:00.0000000Z,2023-09-01T18:00:00.0000000Z,2023-09-01T17:00:02.2740000Z,2023-09-01T17:59:46.1140000Z,4.205,4.206,4.135,4.17,0,4541
2023-09-01T18:00:00.0000000Z,2023-09-01T19:00:00.0000000Z,2023-09-01T18:00:02.2490000Z,2023-09-01T18:59:58.3030000Z,4.17,4.227,4.166,4.206,0,1946
2023-09-01T19:00:00.0000000Z,2023-09-01T20:00:00.0000000Z,2023-09-01T19:00:03.1040000Z,2023-09-01T19:59:56.1110000Z,4.206,4.207,4.182,4.205,0,1099
2023-09-01T20:00:00.0000000Z,2023-09-01T21:00:00.0000000Z,2023-09-01T20:00:01.7200000Z,2023-09-01T20:59:51.6000000Z,4.207,4.236,4.199,4.221,0,1232
2023-09-01T21:00:00.0000000Z,2023-09-01T22:00:00.0000000Z,2023-09-01T21:00:01.4040000Z,2023-09-01T21:59:35.5870000Z,4.221,4.23,4.201,4.212,0,825
2023-09-01T22:00:00.0000000Z,2023-09-01T23:00:00.0000000Z,2023-09-01T22:00:00.8620000Z,2023-09-01T22:59:58.2780000Z,4.214,4.214,4.197,4.202,0,677
2023-09-01T23:00:00.0000000Z,2023-09-02T00:00:00.0000000Z,2023-09-01T23:00:00.9320000Z,2023-09-01T23:59:57.5510000Z,4.202,4.222,4.202,4.217,0,514
2023-09-02T00:00:00.0000000Z,2023-09-02T01:00:00.0000000Z,2023-09-02T00:00:03.1310000Z,2023-09-02T00:59:40.8790000Z,4.217,4.223,4.205,4.207,0,492
2023-09-02T01:00:00.0000000Z,2023-09-02T02:00:00.0000000Z,2023-09-02T01:00:03.1410000Z,2023-09-02T01:59:21.0410000Z,4.207,4.223,4.204,4.216,0,471
2023-09-02T02:00:00.0000000Z,2023-09-02T03:00:00.0000000Z,2023-09-02T02:00:01.2370000Z,2023-09-02T02:59:55.8260000Z,4.216,4.23,4.206,4.208,0,519
2023-09-02T03:00:00.0000000Z,2023-09-02T04:00:00.0000000Z,2023-09-02T03:00:00.8970000Z,2023-09-02T03:59:07.3950000Z,4.208,4.23,4.208,4.23,0,505
2023-09-02T04:00:00.0000000Z,2023-09-02T05:00:00.0000000Z,2023-09-02T04:00:00.1200000Z,2023-09-02T04:59:55.2090000Z,4.23,4.247,4.228,4.235,0,819
2023-09-02T05:00:00.0000000Z,2023-09-02T06:00:00.0000000Z,2023-09-02T05:00:01.1930000Z,2023-09-02T05:59:24.1250000Z,4.235,4.242,4.227,4.232,0,586
2023-09-02T06:00:00.0000000Z,2023-09-02T07:00:00.0000000Z,2023-09-02T06:00:01.5900000Z,2023-09-02T06:59:56.0180000Z,4.232,4.234,4.22,4.226,0,614
2023-09-02T07:00:00.0000000Z,2023-09-02T08:00:00.0000000Z,2023-09-02T07:00:03.0970000Z,2023-09-02T07:59:37.4320000Z,4.226,4.234,4.223,4.232,0,649
2023-09-02T08:00:00.0000000Z,2023-09-02T09:00:00.0000000Z,2023-09-02T08:00:03.1560000Z,2023-09-02T08:59:59.3020000Z,4.232,4.248,4.23,4.236,0,871
2023-09-02T09:00:00.0000000Z,2023-09-02T10:00:00.0000000Z,2023-09-02T09:00:00.0020000Z,2023-09-02T09:59:38.2560000Z,4.236,4.259,4.236,4.251,0,1095
2023-09-02T10:00:00.0000000Z,2023-09-02T11:00:00.0000000Z,2023-09-02T10:00:03.1400000Z,2023-09-02T10:59:51.1600000Z,4.251,4.257,4.246,4.246,0,611
2023-09-02T11:00:00.0000000Z,2023-09-02T12:00:00.0000000Z,2023-09-02T11:00:01.3950000Z,2023-09-02T11:59:24.6470000Z,4.247,4.248,4.238,4.242,0,504
2023-09-02T12:00:00.0000000Z,2023-09-02T13:00:00.0000000Z,2023-09-02T12:00:00.8130000Z,2023-09-02T12:59:55.0220000Z,4.242,4.242,4.231,4.236,0,540
2023-09-02T13:00:00.0000000Z,2023-09-02T14:00:00.0000000Z,2023-09-02T13:00:01.1900000Z,2023-09-02T13:59:58.1490000Z,4.236,4.253,4.221,4.249,0,672
2023-09-02T14:00:00.0000000Z,2023-09-02T15:00:00.0000000Z,2023-09-02T14:00:00.4250000Z,2023-09-02T14:59:56.9200000Z,4.248,4.256,4.24,4.249,0,617
2023-09-02T15:00:00.0000000Z,2023-09-02T16:00:00.0000000Z,2023-09-02T15:00:02.9360000Z,2023-09-02T15:59:56.3600000Z,4.249,4.273,4.249,4.252,0,1048
2023-09-02T16:00:00.0000000Z,2023-09-02T17:00:00.0000000Z,2023-09-02T16:00:00.1940000Z,2023-09-02T16:59:53.1390000Z,4.251,4.26,4.239,4.244,0,911
2023-09-02T17:00:00.0000000Z,2023-09-02T18:00:00.0000000Z,2023-09-02T17:00:03.0830000Z,2023-09-02T17:59:52.3930000Z,4.244,4.251,4.226,4.23,0,676
2023-09-02T18:00:00.0000000Z,2023-09-02T19:00:00.0000000Z,2023-09-02T18:00:00.0760000Z,2023-09-02T18:59:53.0920000Z,4.23,4.234,4.203,4.223,0,1000
2023-09-02T19:00:00.0000000Z,2023-09-02T20:00:00.0000000Z,2023-09-02T19:00:03.0910000Z,2023-09-02T19:59:56.7700000Z,4.223,4.25,4.221,4.246,0,498
2023-09-02T20:00:00.0000000Z,2023-09-02T21:00:00.0000000Z,2023-09-02T20:00:03.0350000Z,2023-09-02T20:59:57.6600000Z,4.246,4.249,4.237,4.246,0,400
2023-09-02T21:00:00.0000000Z,2023-09-02T22:00:00.0000000Z,2023-09-02T21:00:03.0880000Z,2023-09-02T21:59:49.9770000Z,4.246,4.258,4.246,4.249,0,388
2023-09-02T22:00:00.0000000Z,2023-09-02T23:00:00.0000000Z,2023-09-02T22:00:03.1190000Z,2023-09-02T22:59:54.2080000Z,4.249,4.26,4.249,4.259,0,305
2023-09-02T23:00:00.0000000Z,2023-09-03T00:00:00.0000000Z,2023-09-02T23:00:03.0820000Z,2023-09-02T23:59:03.1640000Z,4.259,4.268,4.255,4.26,0,334
2023-09-03T00:00:00.0000000Z,2023-09-03T01:00:00.0000000Z,2023-09-03T00:00:03.0710000Z,2023-09-03T00:59:42.8430000Z,4.26,4.278,4.251,4.276,0,545
2023-09-03T01:00:00.0000000Z,2023-09-03T02:00:00.0000000Z,2023-09-03T01:00:03.1650000Z,2023-09-03T01:59:46.7610000Z,4.276,4.279,4.261,4.264,0,453
2023-09-03T02:00:00.0000000Z,2023-09-03T03:00:00.0000000Z,2023-09-03T02:00:02.8050000Z,2023-09-03T02:59:35.2700000Z,4.264,4.264,4.258,4.262,0,320
2023-09-03T03:00:00.0000000Z,2023-09-03T04:00:00.0000000Z,2023-09-03T03:00:03.1520000Z,2023-09-03T03:59:57.1560000Z,4.262,4.284,4.261,4.282,0,498
2023-09-03T04:00:00.0000000Z,2023-09-03T05:00:00.0000000Z,2023-09-03T04:00:03.0270000Z,2023-09-03T04:59:29.1490000Z,4.282,4.284,4.271,4.275,0,592
2023-09-03T05:00:00.0000000Z,2023-09-03T06:00:00.0000000Z,2023-09-03T05:00:03.0660000Z,2023-09-03T05:59:49.3770000Z,4.275,4.289,4.274,4.285,0,643
