time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2023-08-31T08:00:00.0000000Z,2023-08-31T09:00:00.0000000Z,2023-08-31T08:50:21.9860000Z,2023-08-31T08:59:45.9580000Z,0.5801,0.5808,0.58,0.5803,0,187
2023-08-31T09:00:00.0000000Z,2023-08-31T10:00:00.0000000Z,2023-08-31T09:00:00.3870000Z,2023-08-31T09:59:50.0000000Z,0.5804,0.5806,0.5788,0.5799,0,1186
2023-08-31T10:00:00.0000000Z,2023-08-31T11:00:00.0000000Z,2023-08-31T10:00:03.0190000Z,2023-08-31T10:59:52.6420000Z,0.5799,0.5831,0.5797,0.5822,0,1319
2023-08-31T11:00:00.0000000Z,2023-08-31T12:00:00.0000000Z,2023-08-31T11:00:00.4360000Z,2023-08-31T11:59:59.3070000Z,0.5823,0.5884,0.5823,0.5834,0,2216
2023-08-31T12:00:00.0000000Z,2023-08-31T13:00:00.0000000Z,2023-08-31T12:00:02.1470000Z,2023-08-31T12:59:59.9460000Z,0.5834,0.5836,0.577,0.5784,0,1955
2023-08-31T13:00:00.0000000Z,2023-08-31T14:00:00.0000000Z,2023-08-31T13:00:00.0500000Z,2023-08-31T13:59:59.6280000Z,0.5784,0.5785,0.5732,0.5749,0,1945
2023-08-31T14:00:00.0000000Z,2023-08-31T15:00:00.0000000Z,2023-08-31T14:00:02.7040000Z,2023-08-31T14:59:57.7900000Z,0.5749,0.5761,0.5715,0.5761,0,1910
2023-08-31T15:00:00.0000000Z,2023-08-31T16:00:00.0000000Z,2023-08-31T15:00:00.2990000Z,2023-08-31T15:59:59.5360000Z,0.5761,0.5761,0.5632,0.5678,0,2857
2023-08-31T16:00:00.0000000Z,2023-08-31T17:00:00.0000000Z,2023-08-31T16:00:00.7460000Z,2023-08-31T16:59:59.9370000Z,0.5679,0.5679,0.5504,0.5512,0,4847
2023-08-31T17:00:00.0000000Z,2023-08-31T18:00:00.0000000Z,2023-08-31T17:00:00.2430000Z,2023-08-31T17:59:57.5500000Z,0.5514,0.5544,0.5428,0.5543,0,4202
2023-08-31T18:00:00.0000000Z,2023-08-31T19:00:00.0000000Z,2023-08-31T18:00:03.0880000Z,2023-08-31T18:59:51.7660000Z,0.5543,0.5568,0.5507,0.552,0,1826
2023-08-31T19:00:00.0000000Z,2023-08-31T20:00:00.0000000Z,2023-08-31T19:00:01.7960000Z,2023-08-31T19:59:58.2950000Z,0.552,0.552,0.5457,0.5488,0,2348
2023-08-31T20:00:00.0000000Z,2023-08-31T21:00:00.0000000Z,2023-08-31T20:00:00.4220000Z,2023-08-31T20:59:58.8810000Z,0.5488,0.5509,0.547,0.5481,0,1882
2023-08-31T21:00:00.0000000Z,2023-08-31T22:00:00.0000000Z,2023-08-31T21:00:02.6670000Z,2023-08-31T21:59:59.3020000Z,0.5482,0.5498,0.5432,0.5481,0,2371
2023-08-31T22:00:00.0000000Z,2023-08-31T23:00:00.0000000Z,2023-08-31T22:00:01.8510000Z,2023-08-31T22:59:56.2540000Z,0.5481,0.5495,0.5457,0.5495,0,1215
2023-08-31T23:00:00.0000000Z,2023-09-01T00:00:00.0000000Z,2023-08-31T23:00:02.8320000Z,2023-08-31T23:59:56.8600000Z,0.5495,0.5501,0.5477,0.5495,0,1170
2023-09-01T00:00:00.0000000Z,2023-09-01T01:00:00.0000000Z,2023-09-01T00:00:02.6550000Z,2023-09-01T00:59:47.1390000Z,0.5494,0.5536,0.5481,0.5531,0,1267
2023-09-01T01:00:00.0000000Z,2023-09-01T02:00:00.0000000Z,2023-09-01T01:00:00.6610000Z,2023-09-01T01:59:29.7940000Z,0.5532,0.5533,0.5506,0.5509,0,1046
2023-09-01T02:00:00.0000000Z,2023-09-01T03:00:00.0000000Z,2023-09-01T02:00:03.1650000Z,2023-09-01T02:59:23.1400000Z,0.5509,0.5529,0.5508,0.5508,0,1006
