date,basic authentication token
2017-12-31,0
2018-01-07,0
2018-01-14,0
2018-01-21,0
2018-01-28,0
2018-02-04,0
2018-02-11,0
2018-02-18,0
2018-02-25,0
2018-03-04,0
2018-03-11,69
2018-03-18,0
2018-03-25,75
2018-04-01,0
2018-04-08,0
2018-04-15,0
2018-04-22,0
2018-04-29,0
2018-05-06,0
2018-05-13,89
2018-05-20,86
2018-05-27,0
2018-06-03,0
2018-06-10,0
2018-06-17,100
2018-06-24,0
2018-07-01,0
2018-07-08,0
2018-07-15,84
2018-07-22,0
2018-07-29,75
2018-08-05,87
2018-08-12,0
2018-08-19,0
2018-08-26,0
2018-09-02,0
2018-09-09,0
2018-09-16,0
2018-09-23,83
2018-09-30,0
2018-10-07,0
2018-10-14,89
2018-10-21,0
2018-10-28,0
2018-11-04,0
2018-11-11,0
2018-11-18,0
2018-11-25,0
2018-12-02,0
2018-12-09,0
2018-12-16,0
2018-12-23,0
2018-12-30,0
2019-01-06,76
2019-01-13,0
2019-01-20,0
2019-01-27,0
2019-02-03,0
2019-02-10,0
2019-02-17,0
2019-02-24,0
2019-03-03,100
2019-03-10,77
2019-03-17,0
2019-03-24,0
2019-03-31,0
2019-04-07,79
2019-04-14,0
2019-04-21,0
2019-04-28,88
2019-05-05,0
2019-05-12,0
2019-05-19,80
2019-05-26,0
2019-06-02,66
2019-06-09,0
2019-06-16,0
2019-06-23,100
2019-06-30,0
2019-07-07,0
2019-07-14,0
2019-07-21,0
2019-07-28,0
2019-08-04,0
2019-08-11,87
2019-08-18,73
2019-08-25,68
2019-09-01,0
2019-09-08,0
2019-09-15,67
2019-09-22,0
2019-09-29,0
2019-10-06,0
2019-10-13,0
2019-10-20,0
2019-10-27,0
2019-11-03,0
2019-11-10,0
2019-11-17,0
2019-11-24,0
2019-12-01,0
2019-12-08,0
2019-12-15,0
2019-12-22,0
2019-12-29,82
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,100
2020-02-02,0
2020-02-09,0
2020-02-16,0
2020-02-23,66
2020-03-01,65
2020-03-08,0
2020-03-15,0
2020-03-22,0
2020-03-29,0
2020-04-05,68
2020-04-12,77
2020-04-19,0
2020-04-26,0
2020-05-03,66
2020-05-10,0
2020-05-17,0
2020-05-24,69
2020-05-31,0
2020-06-07,63
2020-06-14,0
2020-06-21,0
2020-06-28,0
2020-07-05,0
