date,bnb
2018-12-30,80
2019-01-06,86
2019-01-13,81
2019-01-20,79
2019-01-27,76
2019-02-03,78
2019-02-10,76
2019-02-17,81
2019-02-24,79
2019-03-03,82
2019-03-10,77
2019-03-17,80
2019-03-24,84
2019-03-31,81
2019-04-07,80
2019-04-14,88
2019-04-21,82
2019-04-28,79
2019-05-05,81
2019-05-12,84
2019-05-19,86
2019-05-26,90
2019-06-02,93
2019-06-09,94
2019-06-16,94
2019-06-23,98
2019-06-30,95
2019-07-07,100
2019-07-14,99
2019-07-21,95
2019-07-28,95
2019-08-04,94
2019-08-11,87
2019-08-18,92
2019-08-25,86
2019-09-01,78
2019-09-08,76
2019-09-15,79
2019-09-22,74
2019-09-29,76
2019-10-06,74
2019-10-13,74
2019-10-20,73
2019-10-27,70
2019-11-03,72
2019-11-10,65
2019-11-17,65
2019-11-24,62
2019-12-01,64
2019-12-08,62
2019-12-15,61
2019-12-22,70
2019-12-29,85
2020-01-05,99
2020-01-12,95
2020-01-19,95
2020-01-26,89
2020-02-02,89
2020-02-09,92
2020-02-16,92
2020-02-23,86
2020-03-01,82
2020-03-08,76
2020-03-15,46
2020-03-22,32
2020-03-29,32
2020-04-05,32
2020-04-12,33
2020-04-19,34
2020-04-26,41
2020-05-03,47
2020-05-10,54
2020-05-17,65
2020-05-24,68
2020-05-31,73
2020-06-07,83
2020-06-14,88
2020-06-21,95
2020-06-28,93
2020-07-05,97
2020-07-12,98
2020-07-19,100
2020-07-26,99
2020-08-02,94
2020-08-09,92
2020-08-16,85
2020-08-23,78
2020-08-30,77
2020-09-06,74
2020-09-13,68
2020-09-20,65
2020-09-27,67
2020-10-04,60
2020-10-11,59
2020-10-18,56
2020-10-25,51
2020-11-01,42
2020-11-08,48
2020-11-15,49
2020-11-22,45
2020-11-29,50
2020-12-06,62
2020-12-13,50
2020-12-20,52
2020-12-27,70
2021-01-03,39
2021-01-10,40
2021-01-17,39
2021-01-24,39
2021-01-31,44
2021-02-07,56
2021-02-14,68
2021-02-21,64
2021-02-28,59
2021-03-07,59
2021-03-14,57
2021-03-21,57
2021-03-28,64
2021-04-04,72
2021-04-11,93
2021-04-18,100
2021-04-25,78
2021-05-02,83
2021-05-09,98
2021-05-16,80
2021-05-23,75
2021-05-30,75
2021-06-06,70
2021-06-13,67
2021-06-20,69
2021-06-27,65
2021-07-04,69
2021-07-11,70
2021-07-18,70
2021-07-25,75
2021-08-01,72
2021-08-08,73
2021-08-15,70
2021-08-22,68
2021-08-29,66
2021-09-05,61
2021-09-12,62
2021-09-19,62
2021-09-26,59
2021-10-03,63
2021-10-10,66
2021-10-17,64
2021-10-24,65
2021-10-31,70
2021-11-07,72
2021-11-14,66
2021-11-21,66
2021-11-28,67
2021-12-05,66
2021-12-12,61
2021-12-19,60
2021-12-26,76
2022-01-02,100
2022-01-09,96
2022-01-16,87
2022-01-23,91
2022-01-30,89
2022-02-06,94
2022-02-13,91
2022-02-20,85
2022-02-27,81
2022-03-06,81
2022-03-13,75
2022-03-20,75
2022-03-27,68
2022-04-03,73
2022-04-10,68
2022-04-17,64
2022-04-24,69
2022-05-01,74
2022-05-08,72
2022-05-15,65
2022-05-22,69
2022-05-29,66
2022-06-05,66
2022-06-12,67
2022-06-19,66
2022-06-26,65
2022-07-03,65
2022-07-10,63
2022-07-17,69
2022-07-24,62
2022-07-31,63
2022-08-07,66
2022-08-14,56
2022-08-21,55
2022-08-28,54
2022-09-04,49
2022-09-11,48
2022-09-18,52
2022-09-25,50
2022-10-02,50
2022-10-09,50
2022-10-16,51
2022-10-23,47
2022-10-30,49
2022-11-06,53
2022-11-13,47
2022-11-20,43
2022-11-27,44
2022-12-04,41
2022-12-11,45
2022-12-18,42
2022-12-25,50
2023-01-01,80
2023-01-08,85
2023-01-15,83
2023-01-22,80
2023-01-29,82
2023-02-05,79
2023-02-12,79
2023-02-19,80
2023-02-26,80
2023-03-05,80
2023-03-12,82
2023-03-19,85
2023-03-26,81
2023-04-02,81
2023-04-09,80
2023-04-16,81
2023-04-23,79
2023-04-30,79
2023-05-07,78
2023-05-14,77
2023-05-21,81
2023-05-28,82
2023-06-04,86
2023-06-11,84
2023-06-18,85
2023-06-25,93
2023-07-02,93
2023-07-09,100
2023-07-16,94
2023-07-23,95
2023-07-30,96
2023-08-06,88
2023-08-13,89
2023-08-20,85
2023-08-27,81
2023-09-03,79
2023-09-10,75
2023-09-17,72
2023-09-24,77
2023-10-01,72
2023-10-08,71
2023-10-15,68
2023-10-22,74
2023-10-29,64
2023-11-05,68
2023-11-12,67
2023-11-19,71
2023-11-26,67
2023-12-03,69
2023-12-10,69
2023-12-17,67
2023-12-24,86
2023-12-31,93
2024-01-01,58
2024-01-02,61
2024-01-03,63
2024-01-04,60
2024-01-05,58
2024-01-06,62
2024-01-07,60
2024-01-08,59
2024-01-09,55
2024-01-10,58
2024-01-11,64
2024-01-12,55
2024-01-13,54
2024-01-14,66
2024-01-15,61
2024-01-16,62
2024-01-17,60
2024-01-18,65
2024-01-19,57
2024-01-20,64
2024-01-21,64
2024-01-22,60
2024-01-23,58
2024-01-24,53
2024-01-25,56
2024-01-26,71
2024-01-27,61
2024-01-28,66
2024-01-29,66
2024-01-30,65
2024-01-31,63
2024-02-01,66
2024-02-02,65
2024-02-03,63
2024-02-04,69
2024-02-05,67
2024-02-06,63
2024-02-07,65
2024-02-08,64
2024-02-09,58
2024-02-10,63
2024-02-11,66
2024-02-12,59
2024-02-13,62
2024-02-14,61
2024-02-15,69
2024-02-16,63
2024-02-17,62
2024-02-18,70
2024-02-19,73
2024-02-20,69
2024-02-21,65
2024-02-22,67
2024-02-23,62
2024-02-24,65
2024-02-25,69
2024-02-26,70
2024-02-27,71
2024-02-28,72
2024-02-29,67
2024-03-01,61
2024-03-02,67
2024-03-03,75
2024-03-04,75
2024-03-05,66
2024-03-06,68
2024-03-07,68
2024-03-08,68
2024-03-09,70
2024-03-10,77
2024-03-11,76
2024-03-12,80
2024-03-13,80
2024-03-14,78
2024-03-15,68
2024-03-16,70
2024-03-17,71
2024-03-18,65
2024-03-19,71
2024-03-20,67
2024-03-21,65
2024-03-22,63
2024-03-23,68
2024-03-24,67
2024-03-25,66
2024-03-26,68
2024-03-27,69
2024-03-28,64
2024-03-29,68
2024-03-30,64
2024-03-31,65
2024-04-01,79
2024-04-02,65
2024-04-03,68
2024-04-04,69
2024-04-05,61
2024-04-06,64
2024-04-07,67
2024-04-08,67
2024-04-09,62
2024-04-10,69
2024-04-11,60
2024-04-12,65
2024-04-13,58
2024-04-14,63
2024-04-15,68
2024-04-16,65
2024-04-17,65
2024-04-18,66
2024-04-19,65
2024-04-20,61
2024-04-21,71
2024-04-22,76
2024-04-23,71
2024-04-24,69
2024-04-25,66
2024-04-26,66
2024-04-27,68
2024-04-28,94
2024-04-29,100
2024-04-30,68
2024-05-01,67
