date,bitcoin
2017-01-01,7
2017-01-08,6
2017-01-15,4
2017-01-22,4
2017-01-29,4
2017-02-05,4
2017-02-12,4
2017-02-19,5
2017-02-26,6
2017-03-05,6
2017-03-12,6
2017-03-19,5
2017-03-26,5
2017-04-02,5
2017-04-09,5
2017-04-16,5
2017-04-23,5
2017-04-30,7
2017-05-07,9
2017-05-14,11
2017-05-21,19
2017-05-28,12
2017-06-04,12
2017-06-11,13
2017-06-18,11
2017-06-25,12
2017-07-02,9
2017-07-09,10
2017-07-16,12
2017-07-23,10
2017-07-30,15
2017-08-06,14
2017-08-13,20
2017-08-20,15
2017-08-27,16
2017-09-03,18
2017-09-10,21
2017-09-17,15
2017-09-24,12
2017-10-01,12
2017-10-08,19
2017-10-15,19
2017-10-22,20
2017-10-29,26
2017-11-05,29
2017-11-12,31
2017-11-19,26
2017-11-26,64
2017-12-03,90
2017-12-10,84
2017-12-17,100
2017-12-24,62
2017-12-31,50
2018-01-07,78
2018-01-14,100
2018-01-21,66
2018-01-28,73
2018-02-04,82
2018-02-11,48
2018-02-18,41
2018-02-25,35
2018-03-04,33
2018-03-11,34
2018-03-18,31
2018-03-25,30
2018-04-01,31
2018-04-08,27
2018-04-15,25
2018-04-22,26
2018-04-29,21
2018-05-06,22
2018-05-13,20
2018-05-20,20
2018-05-27,18
2018-06-03,17
2018-06-10,22
2018-06-17,19
2018-06-24,19
2018-07-01,17
2018-07-08,15
2018-07-15,18
2018-07-22,21
2018-07-29,18
2018-08-05,20
2018-08-12,18
2018-08-19,17
2018-08-26,17
2018-09-02,19
2018-09-09,16
2018-09-16,15
2018-09-23,15
2018-09-30,13
2018-10-07,14
2018-10-14,14
2018-10-21,13
2018-10-28,13
2018-11-04,14
2018-11-11,17
2018-11-18,24
2018-11-25,25
2018-12-02,20
2018-12-09,19
2018-12-16,20
2018-12-23,17
2018-12-30,16
2019-01-06,34
2019-01-13,31
2019-01-20,28
2019-01-27,29
2019-02-03,31
2019-02-10,28
2019-02-17,32
2019-02-24,29
2019-03-03,27
2019-03-10,26
2019-03-17,27
2019-03-24,26
2019-03-31,48
2019-04-07,39
2019-04-14,34
2019-04-21,36
2019-04-28,33
2019-05-05,45
2019-05-12,70
2019-05-19,51
2019-05-26,58
2019-06-02,46
2019-06-09,43
2019-06-16,60
2019-06-23,100
2019-06-30,65
2019-07-07,62
2019-07-14,61
2019-07-21,53
2019-07-28,48
2019-08-04,56
2019-08-11,50
2019-08-18,45
2019-08-25,42
2019-09-01,42
2019-09-08,38
2019-09-15,36
2019-09-22,46
2019-09-29,39
2019-10-06,36
2019-10-13,32
2019-10-20,42
2019-10-27,41
2019-11-03,35
2019-11-10,32
2019-11-17,37
2019-11-24,39
2019-12-01,34
2019-12-08,32
2019-12-15,35
2019-12-22,33
2019-12-29,34
2020-01-05,25
2020-01-12,26
2020-01-19,24
2020-01-26,25
2020-02-02,26
2020-02-09,32
2020-02-16,27
2020-02-23,27
2020-03-01,24
2020-03-08,46
2020-03-15,48
