date,polkadot
2020-12-27,38
2021-01-03,42
2021-01-10,63
2021-01-17,80
2021-01-24,44
2021-01-31,78
2021-02-07,79
2021-02-14,96
2021-02-21,90
2021-02-28,55
2021-03-07,49
2021-03-14,45
2021-03-21,39
2021-03-28,56
2021-04-04,51
2021-04-11,53
2021-04-18,51
2021-04-25,45
2021-05-02,59
2021-05-09,66
2021-05-16,56
2021-05-23,43
2021-05-30,37
2021-06-06,31
2021-06-13,33
2021-06-20,34
2021-06-27,28
2021-07-04,25
2021-07-11,24
2021-07-18,25
2021-07-25,24
2021-08-01,33
2021-08-08,34
2021-08-15,41
2021-08-22,37
2021-08-29,45
2021-09-05,40
2021-09-12,42
2021-09-19,32
2021-09-26,28
2021-10-03,33
2021-10-10,56
2021-10-17,49
2021-10-24,47
2021-10-31,100
2021-11-07,90
2021-11-14,48
2021-11-21,45
2021-11-28,45
2021-12-05,38
2021-12-12,42
2021-12-19,46
2021-12-26,44
2022-01-02,100
2022-01-09,89
2022-01-16,80
2022-01-23,86
2022-01-30,78
2022-02-06,74
2022-02-13,67
2022-02-20,58
2022-02-27,57
2022-03-06,54
2022-03-13,53
2022-03-20,55
2022-03-27,67
2022-04-03,57
2022-04-10,55
2022-04-17,53
2022-04-24,51
2022-05-01,50
2022-05-08,65
2022-05-15,47
2022-05-22,47
2022-05-29,40
2022-06-05,40
2022-06-12,48
2022-06-19,39
2022-06-26,44
2022-07-03,38
2022-07-10,41
2022-07-17,45
2022-07-24,50
2022-07-31,45
2022-08-07,44
2022-08-14,46
2022-08-21,36
2022-08-28,35
2022-09-04,35
2022-09-11,33
2022-09-18,34
2022-09-25,35
2022-10-02,34
2022-10-09,31
2022-10-16,33
2022-10-23,35
2022-10-30,37
2022-11-06,35
2022-11-13,33
2022-11-20,30
2022-11-27,28
2022-12-04,28
2022-12-11,28
2022-12-18,28
2022-12-25,29
2023-01-01,52
2023-01-08,58
2023-01-15,63
2023-01-22,59
2023-01-29,62
2023-02-05,61
2023-02-12,59
2023-02-19,60
2023-02-26,59
2023-03-05,68
2023-03-12,58
2023-03-19,60
2023-03-26,56
2023-04-02,58
2023-04-09,58
2023-04-16,54
2023-04-23,56
2023-04-30,57
2023-05-07,51
2023-05-14,51
2023-05-21,48
2023-05-28,48
2023-06-04,50
2023-06-11,55
2023-06-18,57
2023-06-25,57
2023-07-02,57
2023-07-09,57
2023-07-16,61
2023-07-23,62
2023-07-30,61
2023-08-06,54
2023-08-13,52
2023-08-20,49
2023-08-27,49
2023-09-03,47
2023-09-10,45
2023-09-17,50
2023-09-24,44
2023-10-01,45
2023-10-08,45
2023-10-15,49
2023-10-22,59
2023-10-29,57
2023-11-05,66
2023-11-12,65
2023-11-19,52
2023-11-26,54
2023-12-03,82
2023-12-10,75
2023-12-17,77
2023-12-24,100
2023-12-31,77
2024-01-01,64
2024-01-02,64
2024-01-03,56
2024-01-04,56
2024-01-05,60
2024-01-06,54
2024-01-07,56
2024-01-08,61
2024-01-09,64
2024-01-10,61
2024-01-11,79
2024-01-12,57
2024-01-13,52
2024-01-14,54
2024-01-15,60
2024-01-16,61
2024-01-17,50
2024-01-18,57
2024-01-19,40
2024-01-20,53
2024-01-21,52
2024-01-22,47
2024-01-23,42
2024-01-24,44
2024-01-25,47
2024-01-26,48
2024-01-27,42
2024-01-28,47
2024-01-29,43
2024-01-30,45
2024-01-31,48
2024-02-01,47
2024-02-02,47
2024-02-03,42
2024-02-04,47
2024-02-05,41
2024-02-06,38
2024-02-07,43
2024-02-08,48
2024-02-09,46
2024-02-10,51
2024-02-11,50
2024-02-12,47
2024-02-13,51
2024-02-14,56
2024-02-15,58
2024-02-16,45
2024-02-17,47
2024-02-18,59
2024-02-19,60
2024-02-20,52
2024-02-21,42
2024-02-22,45
2024-02-23,48
2024-02-24,58
2024-02-25,54
2024-02-26,58
2024-02-27,68
2024-02-28,78
2024-02-29,86
2024-03-01,75
2024-03-02,87
2024-03-03,94
2024-03-04,100
2024-03-05,100
2024-03-06,92
2024-03-07,94
2024-03-08,84
2024-03-09,81
2024-03-10,70
2024-03-11,93
2024-03-12,92
2024-03-13,98
2024-03-14,96
2024-03-15,81
2024-03-16,75
2024-03-17,82
2024-03-18,73
2024-03-19,71
2024-03-20,69
2024-03-21,64
2024-03-22,65
2024-03-23,70
2024-03-24,58
2024-03-25,72
2024-03-26,78
2024-03-27,71
2024-03-28,66
2024-03-29,61
2024-03-30,60
2024-03-31,64
2024-04-01,56
2024-04-02,52
2024-04-03,59
2024-04-04,57
2024-04-05,59
2024-04-06,58
2024-04-07,63
2024-04-08,58
2024-04-09,63
2024-04-10,46
2024-04-11,54
2024-04-12,57
2024-04-13,60
2024-04-14,56
2024-04-15,47
2024-04-16,45
2024-04-17,45
2024-04-18,49
2024-04-19,52
2024-04-20,51
2024-04-21,51
2024-04-22,54
2024-04-23,51
2024-04-24,46
2024-04-25,41
2024-04-26,44
2024-04-27,41
2024-04-28,42
2024-04-29,42
2024-04-30,46
2024-05-01,48
2024-05-02,41
