date,ethereum
2017-01-01,4
2017-01-08,3
2017-01-15,2
2017-01-22,2
2017-01-29,2
2017-02-05,2
2017-02-12,3
2017-02-19,3
2017-02-26,6
2017-03-05,5
2017-03-12,14
2017-03-19,10
2017-03-26,8
2017-04-02,7
2017-04-09,7
2017-04-16,6
2017-04-23,9
2017-04-30,18
2017-05-07,13
2017-05-14,16
2017-05-21,50
2017-05-28,39
2017-06-04,46
2017-06-11,79
2017-06-18,60
2017-06-25,53
2017-07-02,37
2017-07-09,42
2017-07-16,40
2017-07-23,27
2017-07-30,26
2017-08-06,31
2017-08-13,31
2017-08-20,29
2017-08-27,36
2017-09-03,31
2017-09-10,28
2017-09-17,24
2017-09-24,19
2017-10-01,18
2017-10-08,24
2017-10-15,29
2017-10-22,23
2017-10-29,28
2017-11-05,33
2017-11-12,30
2017-11-19,44
2017-11-26,68
2017-12-03,77
2017-12-10,100
2017-12-17,94
2017-12-24,59
2017-12-31,74
2018-01-07,100
2018-01-14,80
2018-01-21,46
2018-01-28,47
2018-02-04,43
2018-02-11,31
2018-02-18,27
2018-02-25,21
2018-03-04,21
2018-03-11,21
2018-03-18,21
2018-03-25,22
2018-04-01,18
2018-04-08,16
2018-04-15,16
2018-04-22,18
2018-04-29,19
2018-05-06,20
2018-05-13,15
2018-05-20,14
2018-05-27,14
2018-06-03,12
2018-06-10,14
2018-06-17,11
2018-06-24,12
2018-07-01,10
2018-07-08,10
2018-07-15,11
2018-07-22,11
2018-07-29,11
2018-08-05,13
2018-08-12,16
2018-08-19,11
2018-08-26,9
2018-09-02,12
2018-09-09,15
2018-09-16,11
2018-09-23,9
2018-09-30,8
2018-10-07,8
2018-10-14,8
2018-10-21,7
2018-10-28,7
2018-11-04,8
2018-11-11,8
2018-11-18,10
2018-11-25,10
2018-12-02,9
2018-12-09,8
2018-12-16,8
2018-12-23,10
2018-12-30,9
2019-01-06,34
2019-01-13,29
2019-01-20,20
2019-01-27,21
2019-02-03,21
2019-02-10,21
2019-02-17,29
2019-02-24,28
2019-03-03,21
2019-03-10,20
2019-03-17,19
2019-03-24,18
2019-03-31,26
2019-04-07,26
2019-04-14,21
2019-04-21,21
2019-04-28,21
2019-05-05,25
2019-05-12,50
2019-05-19,32
2019-05-26,33
2019-06-02,24
2019-06-09,24
2019-06-16,37
2019-06-23,54
2019-06-30,40
2019-07-07,71
2019-07-14,100
2019-07-21,21
2019-07-28,20
2019-08-04,22
2019-08-11,20
2019-08-18,23
2019-08-25,20
