date,loopring
2017-12-31,61
2018-01-07,100
2018-01-14,50
2018-01-21,24
2018-01-28,19
2018-02-04,13
2018-02-11,16
2018-02-18,13
2018-02-25,8
2018-03-04,8
2018-03-11,6
2018-03-18,10
2018-03-25,6
2018-04-01,7
2018-04-08,6
2018-04-15,13
2018-04-22,7
2018-04-29,15
2018-05-06,8
2018-05-13,5
2018-05-20,6
2018-05-27,6
2018-06-03,4
2018-06-10,4
2018-06-17,3
2018-06-24,6
2018-07-01,5
2018-07-08,5
2018-07-15,4
2018-07-22,0
2018-07-29,0
2018-08-05,0
2018-08-12,3
2018-08-19,0
2018-08-26,0
2018-09-02,0
2018-09-09,0
2018-09-16,0
2018-09-23,0
2018-09-30,4
2018-10-07,0
2018-10-14,0
2018-10-21,0
2018-10-28,3
2018-11-04,0
2018-11-11,0
2018-11-18,0
2018-11-25,0
2018-12-02,0
2018-12-09,0
2018-12-16,0
2018-12-23,0
2018-12-30,0
2019-01-06,0
2019-01-13,56
2019-01-20,100
2019-01-27,98
2019-02-03,0
2019-02-10,53
2019-02-17,0
2019-02-24,62
2019-03-03,0
2019-03-10,0
2019-03-17,0
2019-03-24,0
2019-03-31,0
2019-04-07,0
2019-04-14,0
2019-04-21,0
2019-04-28,0
2019-05-05,0
2019-05-12,61
2019-05-19,0
2019-05-26,0
2019-06-02,0
2019-06-09,0
2019-06-16,0
2019-06-23,60
2019-06-30,0
2019-07-07,0
2019-07-14,0
2019-07-21,0
2019-07-28,0
2019-08-04,0
2019-08-11,60
2019-08-18,0
2019-08-25,0
2019-09-01,0
2019-09-08,0
2019-09-15,0
2019-09-22,0
2019-09-29,0
2019-10-06,0
2019-10-13,0
2019-10-20,0
2019-10-27,0
2019-11-03,0
2019-11-10,0
2019-11-17,0
2019-11-24,0
2019-12-01,0
2019-12-08,0
2019-12-15,0
2019-12-22,0
2019-12-29,0
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,0
2020-02-02,0
2020-02-09,0
2020-02-16,0
2020-02-23,32
2020-03-01,18
2020-03-08,0
2020-03-15,0
2020-03-22,0
2020-03-29,0
2020-04-05,0
2020-04-12,0
2020-04-19,0
2020-04-26,0
2020-05-03,20
2020-05-10,16
2020-05-17,21
2020-05-24,20
2020-05-31,27
2020-06-07,78
2020-06-14,31
2020-06-21,29
2020-06-28,20
2020-07-05,37
2020-07-12,71
2020-07-19,35
2020-07-26,41
2020-08-02,32
2020-08-09,67
2020-08-16,52
2020-08-23,37
2020-08-30,85
2020-09-06,63
2020-09-13,86
2020-09-20,73
2020-09-27,58
2020-10-04,44
2020-10-11,41
2020-10-18,33
2020-10-25,33
2020-11-01,43
2020-11-08,52
2020-11-15,40
2020-11-22,72
2020-11-29,57
2020-12-06,49
2020-12-13,49
2020-12-20,60
2020-12-27,100
2021-01-03,13
2021-01-10,2
2021-01-17,2
2021-01-24,2
2021-01-31,4
2021-02-07,4
2021-02-14,3
2021-02-21,2
2021-02-28,1
2021-03-07,2
2021-03-14,1
2021-03-21,1
2021-03-28,1
2021-04-04,2
2021-04-11,3
2021-04-18,2
2021-04-25,2
2021-05-02,3
2021-05-09,13
2021-05-16,3
2021-05-23,3
2021-05-30,2
2021-06-06,1
2021-06-13,1
2021-06-20,1
2021-06-27,3
2021-07-04,1
2021-07-11,1
2021-07-18,1
2021-07-25,1
2021-08-01,1
2021-08-08,1
2021-08-15,1
2021-08-22,8
2021-08-29,7
2021-09-05,4
2021-09-12,3
2021-09-19,2
2021-09-26,2
2021-10-03,2
2021-10-10,2
2021-10-17,3
2021-10-24,9
2021-10-31,48
2021-11-07,100
2021-11-14,39
2021-11-21,33
2021-11-28,21
2021-12-05,19
2021-12-12,15
2021-12-19,16
2021-12-26,12
2022-01-02,74
2022-01-09,63
2022-01-16,98
2022-01-23,76
2022-01-30,68
2022-02-06,66
2022-02-13,37
2022-02-20,36
2022-02-27,29
2022-03-06,22
2022-03-13,31
2022-03-20,100
2022-03-27,66
2022-04-03,46
2022-04-10,29
2022-04-17,32
2022-04-24,24
2022-05-01,26
2022-05-08,40
2022-05-15,25
2022-05-22,36
2022-05-29,21
2022-06-05,18
2022-06-12,19
2022-06-19,13
2022-06-26,10
2022-07-03,12
2022-07-10,17
2022-07-17,17
2022-07-24,14
2022-07-31,12
2022-08-07,18
2022-08-14,11
2022-08-21,10
2022-08-28,10
2022-09-04,10
2022-09-11,10
2022-09-18,8
2022-09-25,8
2022-10-02,8
2022-10-09,9
2022-10-16,7
2022-10-23,10
2022-10-30,23
2022-11-06,17
2022-11-13,12
