date,monero
2017-12-31,100
2018-01-07,79
2018-01-14,62
2018-01-21,43
2018-01-28,47
2018-02-04,38
2018-02-11,35
2018-02-18,31
2018-02-25,32
2018-03-04,31
2018-03-11,29
2018-03-18,21
2018-03-25,20
2018-04-01,27
2018-04-08,28
2018-04-15,24
2018-04-22,24
2018-04-29,23
2018-05-06,20
2018-05-13,17
2018-05-20,15
2018-05-27,15
2018-06-03,15
2018-06-10,13
2018-06-17,12
2018-06-24,12
2018-07-01,11
2018-07-08,11
2018-07-15,11
2018-07-22,11
2018-07-29,11
2018-08-05,10
2018-08-12,11
2018-08-19,11
2018-08-26,13
2018-09-02,16
2018-09-09,12
2018-09-16,10
2018-09-23,11
2018-09-30,10
2018-10-07,10
2018-10-14,12
2018-10-21,12
2018-10-28,9
2018-11-04,9
2018-11-11,9
2018-11-18,9
2018-11-25,8
2018-12-02,8
2018-12-09,7
2018-12-16,8
2018-12-23,7
2018-12-30,9
2019-01-06,100
2019-01-13,60
2019-01-20,52
2019-01-27,50
2019-02-03,51
2019-02-10,53
2019-02-17,59
2019-02-24,54
2019-03-03,64
2019-03-10,66
2019-03-17,56
2019-03-24,50
2019-03-31,54
2019-04-07,52
2019-04-14,50
2019-04-21,48
2019-04-28,52
2019-05-05,54
2019-05-12,66
2019-05-19,60
2019-05-26,64
2019-06-02,57
2019-06-09,55
2019-06-16,68
2019-06-23,90
2019-06-30,64
2019-07-07,65
2019-07-14,58
2019-07-21,50
2019-07-28,49
2019-08-04,61
2019-08-11,53
2019-08-18,51
2019-08-25,54
2019-09-01,52
2019-09-08,50
2019-09-15,52
2019-09-22,53
2019-09-29,43
2019-10-06,46
2019-10-13,53
2019-10-20,51
2019-10-27,50
2019-11-03,52
2019-11-10,53
2019-11-17,54
2019-11-24,62
2019-12-01,61
2019-12-08,50
2019-12-15,57
2019-12-22,47
2019-12-29,55
2020-01-05,40
2020-01-12,36
2020-01-19,35
2020-01-26,34
2020-02-02,38
2020-02-09,45
2020-02-16,38
2020-02-23,33
2020-03-01,32
2020-03-08,36
2020-03-15,33
2020-03-22,34
2020-03-29,45
2020-04-05,47
2020-04-12,40
2020-04-19,41
2020-04-26,45
2020-05-03,46
2020-05-10,48
2020-05-17,47
2020-05-24,37
2020-05-31,37
2020-06-07,35
2020-06-14,34
2020-06-21,36
2020-06-28,30
2020-07-05,31
2020-07-12,34
2020-07-19,36
2020-07-26,39
2020-08-02,39
2020-08-09,36
2020-08-16,40
2020-08-23,43
2020-08-30,43
2020-09-06,52
2020-09-13,44
2020-09-20,35
2020-09-27,39
2020-10-04,40
2020-10-11,40
2020-10-18,49
2020-10-25,45
2020-11-01,44
2020-11-08,39
2020-11-15,47
2020-11-22,50
2020-11-29,47
2020-12-06,50
2020-12-13,83
2020-12-20,61
2020-12-27,100
2021-01-03,73
2021-01-10,68
2021-01-17,56
2021-01-24,52
2021-01-31,54
2021-02-07,78
2021-02-14,100
2021-02-21,81
2021-02-28,64
2021-03-07,60
2021-03-14,63
2021-03-21,55
2021-03-28,67
2021-04-04,67
2021-04-11,87
2021-04-18,95
2021-04-25,80
2021-05-02,93
2021-05-09,99
2021-05-16,86
2021-05-23,68
2021-05-30,60
2021-06-06,54
2021-06-13,52
2021-06-20,56
2021-06-27,52
2021-07-04,46
2021-07-11,37
2021-07-18,35
2021-07-25,38
2021-08-01,40
2021-08-08,40
2021-08-15,40
2021-08-22,50
2021-08-29,43
2021-09-05,43
2021-09-12,38
2021-09-19,39
2021-09-26,34
2021-10-03,40
2021-10-10,42
2021-10-17,41
2021-10-24,44
2021-10-31,41
2021-11-07,52
2021-11-14,58
2021-11-21,50
2021-11-28,46
2021-12-05,44
2021-12-12,40
2021-12-19,41
2021-12-26,46
2022-01-02,96
2022-01-09,92
2022-01-16,92
2022-01-23,86
2022-01-30,86
2022-02-06,88
2022-02-13,91
2022-02-20,86
2022-02-27,90
2022-03-06,94
2022-03-13,84
2022-03-20,79
2022-03-27,83
2022-04-03,84
2022-04-10,89
2022-04-17,100
2022-04-24,84
2022-05-01,81
2022-05-08,90
2022-05-15,77
2022-05-22,77
2022-05-29,68
2022-06-05,61
2022-06-12,76
2022-06-19,79
2022-06-26,61
2022-07-03,62
2022-07-10,62
2022-07-17,60
2022-07-24,60
2022-07-31,57
2022-08-07,64
2022-08-14,79
2022-08-21,60
2022-08-28,56
2022-09-04,52
2022-09-11,65
2022-09-18,65
2022-09-25,55
2022-10-02,53
2022-10-09,52
2022-10-16,49
2022-10-23,47
2022-10-30,44
2022-11-06,55
2022-11-13,58
2022-11-20,50
2022-11-27,53
2022-12-04,48
2022-12-11,49
2022-12-18,50
2022-12-25,40
2023-01-01,88
2023-01-08,85
2023-01-15,90
2023-01-22,85
2023-01-29,90
2023-02-05,71
2023-02-12,79
2023-02-19,80
2023-02-26,75
2023-03-05,75
2023-03-12,85
2023-03-19,86
2023-03-26,100
2023-04-02,84
2023-04-09,88
2023-04-16,90
2023-04-23,71
2023-04-30,72
2023-05-07,79
2023-05-14,73
2023-05-21,68
2023-05-28,75
2023-06-04,75
2023-06-11,76
2023-06-18,77
2023-06-25,86
2023-07-02,78
2023-07-09,83
2023-07-16,77
2023-07-23,76
2023-07-30,75
2023-08-06,76
2023-08-13,74
2023-08-20,75
2023-08-27,77
2023-09-03,73
2023-09-10,72
2023-09-17,74
2023-09-24,68
2023-10-01,74
2023-10-08,69
2023-10-15,66
2023-10-22,81
2023-10-29,78
2023-11-05,84
2023-11-12,83
2023-11-19,88
2023-11-26,81
2023-12-03,90
2023-12-10,80
2023-12-17,87
2023-12-24,81
2023-12-31,91
2024-01-01,20
2024-01-02,25
2024-01-03,28
2024-01-04,21
2024-01-05,20
2024-01-06,23
2024-01-07,24
2024-01-08,28
2024-01-09,30
2024-01-10,25
2024-01-11,24
2024-01-12,22
2024-01-13,25
2024-01-14,27
2024-01-15,25
2024-01-16,23
2024-01-17,23
2024-01-18,23
2024-01-19,25
2024-01-20,19
2024-01-21,22
2024-01-22,25
2024-01-23,21
2024-01-24,24
2024-01-25,20
2024-01-26,20
2024-01-27,21
2024-01-28,27
2024-01-29,25
2024-01-30,20
2024-01-31,23
2024-02-01,21
2024-02-02,19
2024-02-03,23
2024-02-04,20
2024-02-05,20
2024-02-06,100
2024-02-07,73
2024-02-08,51
2024-02-09,37
2024-02-10,33
2024-02-11,37
2024-02-12,38
2024-02-13,36
2024-02-14,33
2024-02-15,33
2024-02-16,26
2024-02-17,29
2024-02-18,30
2024-02-19,33
2024-02-20,31
2024-02-21,31
2024-02-22,26
2024-02-23,23
2024-02-24,24
2024-02-25,29
2024-02-26,31
2024-02-27,31
2024-02-28,34
2024-02-29,34
2024-03-01,31
2024-03-02,29
2024-03-03,32
2024-03-04,34
2024-03-05,35
2024-03-06,32
2024-03-07,34
2024-03-08,35
2024-03-09,33
2024-03-10,27
2024-03-11,32
2024-03-12,35
2024-03-13,32
2024-03-14,27
2024-03-15,28
2024-03-16,34
2024-03-17,31
2024-03-18,24
2024-03-19,32
2024-03-20,28
2024-03-21,27
2024-03-22,24
2024-03-23,27
2024-03-24,32
2024-03-25,28
2024-03-26,33
2024-03-27,30
2024-03-28,29
2024-03-29,30
2024-03-30,29
2024-03-31,24
2024-04-01,31
2024-04-02,25
2024-04-03,28
2024-04-04,24
2024-04-05,26
2024-04-06,23
2024-04-07,26
2024-04-08,25
2024-04-09,25
2024-04-10,25
2024-04-11,25
2024-04-12,27
2024-04-13,28
2024-04-14,29
2024-04-15,28
2024-04-16,26
2024-04-17,23
2024-04-18,25
2024-04-19,25
2024-04-20,23
2024-04-21,25
2024-04-22,25
2024-04-23,25
2024-04-24,23
2024-04-25,24
2024-04-26,25
2024-04-27,23
2024-04-28,24
2024-04-29,23
2024-04-30,22
2024-05-01,23
2024-05-02,21
