date,xrp
2018-12-30,50
2019-01-06,40
2019-01-13,41
2019-01-20,35
2019-01-27,42
2019-02-03,39
2019-02-10,36
2019-02-17,40
2019-02-24,61
2019-03-03,41
2019-03-10,37
2019-03-17,35
2019-03-24,34
2019-03-31,58
2019-04-07,41
2019-04-14,39
2019-04-21,38
2019-04-28,36
2019-05-05,38
2019-05-12,100
2019-05-19,56
2019-05-26,84
2019-06-02,56
2019-06-09,44
2019-06-16,79
2019-06-23,86
2019-06-30,48
2019-07-07,50
2019-07-14,44
2019-07-21,39
2019-07-28,38
2019-08-04,39
2019-08-11,41
2019-08-18,40
2019-08-25,35
2019-09-01,36
2019-09-08,35
2019-09-15,52
2019-09-22,39
2019-09-29,36
2019-10-06,42
2019-10-13,49
2019-10-20,43
2019-10-27,42
2019-11-03,41
2019-11-10,31
2019-11-17,35
2019-11-24,37
2019-12-01,33
2019-12-08,32
2019-12-15,38
2019-12-22,40
2019-12-29,36
2020-01-05,15
2020-01-12,15
2020-01-19,13
2020-01-26,14
2020-02-02,22
2020-02-09,25
2020-02-16,20
2020-02-23,15
2020-03-01,11
2020-03-08,17
2020-03-15,14
2020-03-22,14
2020-03-29,12
2020-04-05,13
2020-04-12,12
2020-04-19,11
2020-04-26,17
2020-05-03,14
2020-05-10,13
2020-05-17,11
2020-05-24,10
2020-05-31,11
2020-06-07,10
2020-06-14,11
2020-06-21,11
2020-06-28,10
2020-07-05,13
2020-07-12,10
2020-07-19,12
2020-07-26,25
2020-08-02,31
2020-08-09,22
2020-08-16,21
2020-08-23,15
2020-08-30,17
2020-09-06,12
2020-09-13,11
2020-09-20,12
2020-09-27,10
2020-10-04,12
2020-10-11,10
2020-10-18,12
2020-10-25,12
2020-11-01,11
2020-11-08,14
2020-11-15,33
2020-11-22,93
2020-11-29,49
2020-12-06,46
2020-12-13,48
2020-12-20,97
2020-12-27,100
2021-01-03,39
2021-01-10,24
2021-01-17,21
2021-01-24,26
2021-01-31,76
2021-02-07,38
2021-02-14,37
2021-02-21,38
2021-02-28,20
2021-03-07,19
2021-03-14,17
2021-03-21,22
2021-03-28,20
2021-04-04,71
2021-04-11,100
2021-04-18,55
2021-04-25,51
2021-05-02,57
2021-05-09,48
2021-05-16,50
2021-05-23,34
2021-05-30,28
2021-06-06,21
2021-06-13,18
2021-06-20,19
2021-06-27,15
2021-07-04,13
2021-07-11,13
2021-07-18,14
2021-07-25,19
2021-08-01,15
2021-08-08,29
2021-08-15,30
2021-08-22,22
2021-08-29,23
2021-09-05,25
2021-09-12,18
2021-09-19,17
2021-09-26,16
2021-10-03,21
2021-10-10,20
2021-10-17,19
2021-10-24,20
2021-10-31,26
2021-11-07,27
2021-11-14,19
2021-11-21,18
2021-11-28,18
2021-12-05,18
2021-12-12,19
2021-12-19,22
2021-12-26,15
2022-01-02,70
2022-01-09,59
2022-01-16,57
2022-01-23,59
2022-01-30,55
2022-02-06,90
2022-02-13,67
2022-02-20,61
2022-02-27,58
2022-03-06,59
2022-03-13,52
2022-03-20,58
2022-03-27,60
2022-04-03,45
2022-04-10,53
2022-04-17,46
2022-04-24,43
2022-05-01,38
2022-05-08,58
2022-05-15,41
2022-05-22,36
2022-05-29,34
2022-06-05,35
2022-06-12,45
2022-06-19,40
2022-06-26,35
2022-07-03,33
2022-07-10,35
2022-07-17,41
2022-07-24,35
2022-07-31,33
2022-08-07,31
2022-08-14,32
2022-08-21,32
2022-08-28,28
2022-09-04,29
2022-09-11,37
2022-09-18,100
2022-09-25,68
2022-10-02,61
2022-10-09,55
2022-10-16,44
2022-10-23,46
2022-10-30,53
2022-11-06,59
2022-11-13,58
2022-11-20,46
2022-11-27,48
2022-12-04,41
2022-12-11,46
2022-12-18,38
2022-12-25,40
2023-01-01,15
2023-01-08,17
2023-01-15,18
2023-01-22,17
2023-01-29,17
2023-02-05,14
2023-02-12,14
2023-02-19,14
2023-02-26,12
2023-03-05,15
2023-03-12,18
2023-03-19,39
2023-03-26,47
2023-04-02,30
2023-04-09,27
2023-04-16,23
2023-04-23,20
2023-04-30,17
2023-05-07,16
2023-05-14,18
2023-05-21,18
2023-05-28,28
2023-06-04,28
2023-06-11,34
2023-06-18,27
2023-06-25,22
2023-07-02,21
2023-07-09,100
2023-07-16,80
2023-07-23,45
2023-07-30,39
2023-08-06,33
2023-08-13,34
2023-08-20,28
2023-08-27,24
2023-09-03,21
2023-09-10,20
2023-09-17,22
2023-09-24,24
2023-10-01,25
2023-10-08,19
2023-10-15,24
2023-10-22,34
2023-10-29,38
2023-11-05,58
2023-11-12,37
2023-11-19,30
2023-11-26,29
2023-12-03,39
2023-12-10,32
2023-12-17,28
2023-12-24,30
2023-12-31,32
2024-01-01,42
2024-01-02,53
2024-01-03,52
2024-01-04,44
2024-01-05,41
2024-01-06,37
2024-01-07,37
2024-01-08,45
2024-01-09,45
2024-01-10,48
2024-01-11,61
2024-01-12,46
2024-01-13,37
2024-01-14,38
2024-01-15,38
2024-01-16,35
2024-01-17,34
2024-01-18,33
2024-01-19,33
2024-01-20,27
2024-01-21,29
2024-01-22,37
2024-01-23,36
2024-01-24,32
2024-01-25,29
2024-01-26,29
2024-01-27,25
2024-01-28,25
2024-01-29,27
2024-01-30,31
2024-01-31,35
2024-02-01,30
2024-02-02,27
2024-02-03,26
2024-02-04,25
2024-02-05,29
2024-02-06,27
2024-02-07,28
2024-02-08,29
2024-02-09,31
2024-02-10,26
2024-02-11,29
2024-02-12,31
2024-02-13,32
2024-02-14,35
2024-02-15,40
2024-02-16,40
2024-02-17,32
2024-02-18,33
2024-02-19,34
2024-02-20,37
2024-02-21,34
2024-02-22,31
2024-02-23,28
2024-02-24,26
2024-02-25,27
2024-02-26,34
2024-02-27,48
2024-02-28,58
2024-02-29,62
2024-03-01,48
2024-03-02,64
2024-03-03,52
2024-03-04,62
2024-03-05,65
2024-03-06,54
2024-03-07,53
2024-03-08,49
2024-03-09,44
2024-03-10,43
2024-03-11,100
2024-03-12,75
2024-03-13,60
2024-03-14,52
2024-03-15,50
2024-03-16,41
2024-03-17,42
2024-03-18,44
2024-03-19,48
2024-03-20,42
2024-03-21,49
2024-03-22,44
2024-03-23,38
2024-03-24,38
2024-03-25,48
2024-03-26,48
2024-03-27,43
2024-03-28,42
2024-03-29,42
2024-03-30,34
2024-03-31,34
2024-04-01,37
2024-04-02,36
2024-04-03,35
2024-04-04,41
2024-04-05,35
2024-04-06,31
2024-04-07,33
2024-04-08,39
2024-04-09,37
2024-04-10,36
2024-04-11,35
2024-04-12,41
2024-04-13,42
2024-04-14,41
2024-04-15,39
2024-04-16,38
2024-04-17,37
2024-04-18,33
2024-04-19,34
2024-04-20,37
2024-04-21,33
2024-04-22,41
2024-04-23,41
2024-04-24,37
2024-04-25,33
2024-04-26,29
2024-04-27,26
2024-04-28,25
2024-04-29,32
2024-04-30,30
